    附件


序号       所属省   所属市    所属县（区）              学校名称
118   河北省   保定市    徐水区                  保定市徐水区师昌绪学校
119   河北省   唐山市    古冶区                  唐山市古冶区范各庄小学
120   河北省   衡水市    安平县                    安平县第四小学
121   河北省   衡水市    枣强县                   河北省枣强县第三中学
122   河北省   衡水市    景县                    景县温城乡温城中学
123   河北省   衡水市    饶阳县                   饶阳县五公镇中心学校
124   河北省   衡水市    景县                     景县留智庙镇中学
125   河北省   衡水市    武强县                   武强县第一实验小学
126   河北省   衡水市    桃城区                    衡水市实验小学
127   河北省   衡水市    枣强县                    枣强县第二中学
128   河北省   衡水市    饶阳县                   饶阳县留楚镇中心学校
129   河北省   衡水市    桃城区                    衡水市恒丰小学
130   河北省   衡水市    桃城区                    衡水市第十七中学
131   河北省   衡水市    景县                     景县留府乡中学
132   河北省   衡水市    桃城区                衡水市滨湖新区彭杜村乡西张小学
133   河北省   衡水市    枣强县                    枣强县第五中学
134   河北省   衡水市    武邑县                    武邑县紫塔乡中学
135   河北省   衡水市    深州市                   深州市唐奉镇中心小学
136   河北省   衡水市    阜城县                    阜城县第七小学
137   河北省   衡水市    枣强县                    枣强县大营镇中学
138   河北省   衡水市    桃城区                衡水市滨湖新区彭杜村乡彭杜中学
139   河北省   衡水市    桃城区                    衡水市第三中学
140   河北省   衡水市    阜城县                    阜城县第二小学
141   河北省   衡水市    桃城区                     衡水滏阳中学
142   河北省   衡水市    饶阳县                    饶阳县白池小学
143   河北省   衡水市    桃城区                    衡水市珍宝街小学
144   河北省   衡水市    桃城区                    衡水市第七中学




                         3
145   河北省   衡水市       深州市                  深州市旧州中学
146   河北省   保定市       定兴县                  定兴县高里中学
147   河北省   保定市        易县                易县职业技术教育中心
148   河北省   承德市       承德县               承德县安匠学区安匠中心小学
149   河北省   承德市       平泉市                  平泉市府前小学
150   河北省   承德市       平泉市              平泉市桲椤树镇金杖子中心小学
151   河北省   承德市       承德县                承德县仓子乡中心小学
152   河北省   承德市       承德县                承德县三沟镇中心小学
153   河北省   承德市       承德县             承德县岗子中心校岗子满族中心小学
154   河北省   廊坊市       大城县                 大城县留各庄中学
155   河北省   廊坊市       永清县               永清县刘街乡南大王庄小学
156   河北省   廊坊市       广阳区               廊坊经济技术开发区第二小学
157   河北省   廊坊市       广阳区               廊坊经济技术开发区第六小学
158   河北省   廊坊市       永清县                  永清县第三中学
159   河北省   廊坊市       永清县                  永清县第二小学
160   河北省   承德市       双桥区             承德市双桥区大石庙镇大石庙中心小学
161   河北省   承德市     丰宁满族自治县             丰宁满族自治县外沟门学校
162   河北省   承德市    围场满族蒙古族自治县          围场满族蒙古族自治县朝阳湾中学
163   河北省   承德市       承德县                 承德县三沟初级中学
164   河北省   廊坊市       香河县                  香河县星宇学校
